,CourseCode,Section,CourseTitle,CourseTags,Prerequisites,CourseCluster,InstructionalFormat
330,ENG 252,01,Shakespeare,"GER - CORE :: UQ (Ultimate Questions), IDS :: Medieval & Early Modern Studies, IDS :: Womenâ€™s, Gender, and Sexuality Studies",FYW - First Year Writing,empty,Lecture
331,ENG 316,01,Late 14th Century Literature,"GER - CORE :: TA (Critical, Analytical Interpretation of Texts)",empty,empty,Lecture
332,ENG 348,01,American Working-Class Literature,"GER - CORE :: TA (Critical, Analytical Interpretation of Texts)",FYW (First Year Writing Seminar),empty,Lecture
333,ENG 349,01,Thinking Sex,"GER - CORE :: HB (Empirical Study of Human Behavior), GER - Writing :: WR (Writing-Research Intensive), IDS :: Womenâ€™s, Gender, and Sexuality Studies",FYW (First Year Writing Seminar),empty,Lecture
334,ENG 353,01,Critical and Cultural Theory,"GER - CORE :: TA (Critical, Analytical Interpretation of Texts), IDS :: Africana Studies",empty,empty,Lecture
335,ENG 399,01,Upper Level Pathways,empty,FYW - First Year Writing,empty,Experiential
336,ENG 476,01,Senior Seminar in Writing,GER - Writing :: WR (Writing-Research Intensive),empty,empty,Seminar
337,ENG 501,01,Independent Study,IDS :: Linguistics,Instructor permission required,empty,Independent Study
338,ENG 503,01,Individualized Internship,empty,Instructor permission required,empty,Independent Study
339,FRN 110,01,Elementary French I,empty,no placement in French 115 level or higher,empty,Lecture
340,FRN 110,02,Elementary French I,empty,no placement in French 115 level or higher,empty,Lecture
341,FRN 115,01,Intensive Elementary French,empty,FRN-PL 115,empty,Lecture
342,FRN 115,02,Intensive Elementary French,empty,FRN-PL 115,empty,Lecture
343,FRN 201,01,Intermediate French I,GER - CORE :: FL (Foreign Language),FRN 115 OR FRN 120 OR FRN-PL 201,empty,Lecture
344,FRN 201,02,Intermediate French I,GER - CORE :: FL (Foreign Language),FRN 115 OR FRN 120 OR FRN-PL 201,empty,Lecture
345,FRN 215,01,French Composition,GER - CORE :: FL (Foreign Language),FRN 201 OR FRN-PL 214 or 215,empty,Lecture
346,FRN 308,01,The French Speaking World,IDS :: Linguistics,1 course in FRN numbered 214 or higher OR FRN PL.300+,empty,Lecture
347,FRN 503,01,Individualized Internship,empty,Instructor permission required,empty,Independent Study
348,FST 202,01,Introduction to Reading Film,"GER - CORE :: TA (Critical, Analytical Interpretation of Texts), IDS :: Film Studies",No FST 202 Equivalencies,empty,Lecture
349,FST 202,01L,Introduction to Reading Film,"GER - CORE :: TA (Critical, Analytical Interpretation of Texts), IDS :: Film Studies",No FST 202 Equivalencies,empty,Discussion
350,FYW 1116,01,Language  Argument and Culture,"FYW topics :: EL (Education and Learning), FYW topics :: VC (Visual Culture), GER - Writing :: FYW (First Year Writing Seminar)",empty,empty,Seminar
351,FYW 1127,01,To Walk the Land,"FYW topics :: PE (Physical Environment), FYW topics :: SP (Sustainable Practices), GER - Writing :: FYW (First Year Writing Seminar)",empty,empty,Seminar
352,FYW 1137,01,Freedom or Oppression: Human Rights in Asia,"FYW topics :: GP (Government and Politics), FYW topics :: RE (Race, Ethnicity, and Social Class), GER - Writing :: FYW (First Year Writing Seminar)",empty,empty,Seminar
353,FYW 1141,01,Homer and History,"FYW topics :: LT (Literature), GER - Writing :: FYW (First Year Writing Seminar)",empty,empty,Seminar
354,FYW 1156,01,Who Speaks Bad English? Language and Ideology,"FYW topics :: EL (Education and Learning), FYW topics :: RE (Race, Ethnicity, and Social Class), FYW topics :: SR (Self-Reflection and Identity), GER - Writing :: FYW (First Year Writing Seminar), IDS :: Linguistics",empty,empty,Seminar
355,FYW 1161,01,Contemporary Issues on Film,"FYW topics :: AE (Artistic Expression), FYW topics :: CE (Current Events), FYW topics :: DF (Drama and Film), FYW topics :: RE (Race, Ethnicity, and Social Class), FYW topics :: SG (Sexuality and Gender)",empty,empty,Seminar
356,FYW 1161,02,Contemporary Issues on Film,"FYW topics :: AE (Artistic Expression), FYW topics :: CE (Current Events), FYW topics :: DF (Drama and Film), FYW topics :: RE (Race, Ethnicity, and Social Class), FYW topics :: SG (Sexuality and Gender)",empty,empty,Seminar
357,FYW 1167,01,American Disaster Literature,"FYW topics :: LT (Literature), GER - Writing :: FYW (First Year Writing Seminar)",empty,empty,Seminar
358,FYW 1167,02,American Disaster Literature,"FYW topics :: LT (Literature), GER - Writing :: FYW (First Year Writing Seminar)",empty,empty,Seminar
359,FYW 1178,01,Academic Autobiography,"FYW topics :: PH (People and Issues in History), FYW topics :: SR (Self-Reflection and Identity), GER - Writing :: FYW (First Year Writing Seminar)",empty,empty,Seminar
360,FYW 1195,EL,Psychic Disorder and the Social Order,"FYW topics :: HW (Health and Wellness), FYW topics :: PH (People and Issues in History), FYW topics :: SI (Scientific Inquiry), GER - Writing :: FYW (First Year Writing Seminar)",Instructor permission required,empty,Seminar
361,FYW 1211,01,Chocolate,"FYW topics :: FC (Food and Culture), FYW topics :: MM (Mass Media and Popular Culture), GER - Writing :: FYW (First Year Writing Seminar)",empty,empty,Seminar
362,FYW 1234,01,Bird by Bird: Interactions in Nature and Society,"FYW topics :: LT (Literature), FYW topics :: MM (Mass Media and Popular Culture), FYW topics :: PE (Physical Environment), FYW topics :: SI (Scientific Inquiry), GER - Writing :: FYW (First Year Writing Seminar)",empty,empty,Seminar
363,FYW 1242,01,World of the Founding Fathers,"FYW topics :: PH (People and Issues in History), GER - Writing :: FYW (First Year Writing Seminar)",empty,empty,Seminar
364,FYW 1244,02,Learning Politics Through Battlestar Galactica,"FYW topics :: GP (Government and Politics), FYW topics :: MM (Mass Media and Popular Culture), GER - Writing :: FYW (First Year Writing Seminar)",empty,empty,Seminar
365,FYW 1245,01,The Parables of Jesus,"FYW topics :: RS (Religion and Spirituality), GER - Writing :: FYW (First Year Writing Seminar)",empty,empty,Seminar
366,FYW 1259,01,Reconsidering James Baldwin in an Era of #BlackLivesMatter,"FYW topics :: CE (Current Events), FYW topics :: MM (Mass Media and Popular Culture), FYW topics :: PH (People and Issues in History), FYW topics :: RE (Race, Ethnicity, and Social Class), GER - Writing :: FYW (First Year Writing Seminar)",empty,empty,Seminar
367,FYW 1260,01,Tudor-Stuart Texts,"FYW topics :: GP (Government and Politics), FYW topics :: LT (Literature), FYW topics :: PH (People and Issues in History), FYW topics :: RS (Religion and Spirituality), GER - Writing :: FYW (First Year Writing Seminar)",empty,empty,Seminar
368,FYW 1267,01,Fairy Tales and Childhood,"FYW topics :: LT (Literature), GER - Writing :: FYW (First Year Writing Seminar)",empty,empty,Seminar
369,FYW 1289,01,Conflict and Its Transformation,"FYW topics :: PT (Philosophical Thought), FYW topics :: RS (Religion and Spirituality), FYW topics :: SP (Sustainable Practices), FYW topics :: SR (Self-Reflection and Identity), GER - Writing :: FYW (First Year Writing Seminar)",empty,empty,Seminar
370,FYW 1294,01,America through Baseball,"FYW topics :: BW (Business World), FYW topics :: MM (Mass Media and Popular Culture), FYW topics :: PH (People and Issues in History), FYW topics :: RS (Religion and Spirituality), GER - Writing :: FYW (First Year Writing Seminar)",empty,empty,Seminar
371,FYW 1294,02,America through Baseball,"FYW topics :: BW (Business World), FYW topics :: MM (Mass Media and Popular Culture), FYW topics :: PH (People and Issues in History), FYW topics :: RS (Religion and Spirituality), GER - Writing :: FYW (First Year Writing Seminar)",empty,empty,Seminar
372,FYW 1300,EL,Politics and the Good Life,"FYW topics :: GP (Government and Politics), FYW topics :: PT (Philosophical Thought), FYW topics :: RS (Religion and Spirituality), FYW topics :: SR (Self-Reflection and Identity), GER - Writing :: FYW (First Year Writing Seminar)",Instructor permission required,empty,Seminar
373,FYW 1311,01,Game On! Tabletop Play and Contemporary Culture,"FYW topics :: MM (Mass Media and Popular Culture), FYW topics :: VC (Visual Culture), GER - Writing :: FYW (First Year Writing Seminar)",empty,empty,Seminar
374,FYW 1316,01,"Evolutionary Anthropology: Facts, Fantasy, Frauds","FYW topics :: MM (Mass Media and Popular Culture), FYW topics :: PH (People and Issues in History), FYW topics :: SI (Scientific Inquiry), GER - Writing :: FYW (First Year Writing Seminar), IDS :: Anthropology",empty,empty,Lecture
375,FYW 1317,01,Muslim Feminisms,"FYW topics :: PH (People and Issues in History), FYW topics :: SG (Sexuality and Gender), GER - Writing :: FYW (First Year Writing Seminar)",empty,empty,Seminar
376,FYW 1318,01,Grassroots Movements,"FYW topics :: GP (Government and Politics), FYW topics :: PH (People and Issues in History), FYW topics :: RE (Race, Ethnicity, and Social Class), FYW topics :: SR (Self-Reflection and Identity), GER - Writing :: FYW (First Year Writing Seminar)",empty,empty,Seminar
377,GRK 110,01,Elementary Greek,empty,no placement in Greek 120 level or higher,empty,Lecture
378,GRK 201,01,Intermediate Greek,"GER - CORE :: FL (Foreign Language), IDS :: Ancient Greek and Roman Studies",GRK 120 OR GRK-PL201,empty,Lecture
379,GRM 110,01,Elementary German I,empty,no placement in German 115 level or higher,empty,Lecture
380,GRM 110,02,Elementary German I,empty,no placement in German 115 level or higher,empty,Lecture
381,GRM 110,03,Elementary German I,empty,no placement in German 115 level or higher,empty,Lecture
382,GRM 201,01,Intermediate German I,GER - CORE :: FL (Foreign Language),GRM 115 OR GRM 120 OR GRM-PL 201,empty,Lecture
383,GRM 201,02,Intermediate German I,GER - CORE :: FL (Foreign Language),GRM 115 OR GRM 120 OR GRM-PL 201,empty,Lecture
384,GRM 201,03,Intermediate German I,GER - CORE :: FL (Foreign Language),GRM 115 OR GRM 120 OR GRM-PL 201,empty,Lecture
385,GRM 220,01,German Civilization,GER - CORE :: FL (Foreign Language),1 course in GRM numbered 200 or higher,empty,Lecture
386,GRM 336,01,German Fairy Tale,"GER - CORE :: TA (Critical, Analytical Interpretation of Texts)",2 courses in GRM numbered 201 or higher,empty,Lecture
387,HSC 075,01,Seminar in Public Health,empty,Declared Public Health Majors only,empty,Lecture
388,HSC 101,01,Wellness Concepts,GER - CORE :: MB (Mind and Body),empty,HSC 101-01L - Wellness Concepts,Lecture
389,HSC 101,01L,Wellness Concepts,GER - CORE :: MB (Mind and Body),empty,HSC 101-01 - Wellness Concepts,Laboratory
390,HSC 101,02,Wellness Concepts,GER - CORE :: MB (Mind and Body),empty,HSC 101-02L - Wellness Concepts,Lecture
391,HSC 101,02L,Wellness Concepts,GER - CORE :: MB (Mind and Body),empty,HSC 101-02 - Wellness Concepts,Laboratory
392,HSC 101,03,Wellness Concepts,GER - CORE :: MB (Mind and Body),empty,HSC 101-03L - Wellness Concepts,Lecture
393,HSC 101,03L,Wellness Concepts,GER - CORE :: MB (Mind and Body),empty,HSC 101-03 - Wellness Concepts,Laboratory
394,HSC 101,04,Wellness Concepts,GER - CORE :: MB (Mind and Body),empty,HSC 101-04L - Wellness Concepts,Lecture
395,HSC 101,04L,Wellness Concepts,GER - CORE :: MB (Mind and Body),empty,HSC 101-04 - Wellness Concepts,Laboratory
396,HSC 101,05,Wellness Concepts,GER - CORE :: MB (Mind and Body),empty,HSC 101-05L - Wellness Concepts,Lecture
397,HSC 101,05L,Wellness Concepts,GER - CORE :: MB (Mind and Body),empty,HSC 101-05 - Wellness Concepts,Laboratory
398,HSC 101,06,Wellness Concepts,GER - CORE :: MB (Mind and Body),empty,HSC 101-06L - Wellness Concepts,Lecture
399,HSC 101,06L,Wellness Concepts,GER - CORE :: MB (Mind and Body),empty,HSC 101-06 - Wellness Concepts,Laboratory
400,HSC 101,07,Wellness Concepts,GER - CORE :: MB (Mind and Body),empty,HSC 101-07L - Wellness Concepts,Lecture
401,HSC 101,07L,Wellness Concepts,GER - CORE :: MB (Mind and Body),empty,HSC 101-07 - Wellness Concepts,Laboratory
