,CourseCode,Section,CourseTitle,CourseTags,Prerequisites,CourseCluster,InstructionalFormat
611,MUS 511E,03,Voice,IDS :: Musical Theatre,empty,empty,Studio
612,MUS 511E,04,Voice,IDS :: Musical Theatre,empty,empty,Studio
613,MUS 511E,05,Voice,IDS :: Musical Theatre,empty,empty,Studio
614,MUS 511E,06,Voice,IDS :: Musical Theatre,empty,empty,Studio
615,MUS 511E,07,Voice,IDS :: Musical Theatre,empty,empty,Studio
616,MUS 512D,01,Opera,empty,empty,empty,Studio
617,MUS 521,01,Violin,empty,empty,empty,Studio
618,MUS 521,03,Violin,empty,empty,empty,Studio
619,MUS 521A_,01,Violin,empty,empty,empty,Studio
620,MUS 521A_,02,Violin,empty,empty,empty,Studio
621,MUS 521C_,01,Violin,empty,empty,empty,Studio
622,MUS 521D,01,Violin,empty,empty,empty,Studio
623,MUS 521D,02,Violin,empty,empty,empty,Studio
624,MUS 521E,01,Violin,empty,empty,empty,Studio
625,MUS 521E,02,Violin,empty,empty,empty,Studio
626,MUS 522,01,Viola,empty,empty,empty,Studio
627,MUS 522A_,01,Viola,empty,empty,empty,Studio
628,MUS 522C,01,Viola,empty,empty,empty,Studio
629,MUS 522D,01,Viola,empty,empty,empty,Studio
630,MUS 522E,01,Viola,empty,empty,empty,Studio
631,MUS 523A,01,Cello,empty,empty,empty,Studio
632,MUS 523C,01,Cello,empty,empty,empty,Studio
633,MUS 523D,01,Cello,empty,empty,empty,Studio
634,MUS 523E,01,Cello,empty,empty,empty,Studio
635,MUS 523_,01,Cello,empty,empty,empty,Studio
636,MUS 524,01,Double Bass,empty,empty,empty,Studio
637,MUS 524A,01,Double Bass,empty,empty,empty,Studio
638,MUS 524C,01,Double Bass,empty,empty,empty,Studio
639,MUS 524D,01,Double Bass,empty,empty,empty,Studio
640,MUS 524E,01,Double Bass,empty,empty,empty,Studio
641,MUS 525,01,Classical Guitar,empty,empty,empty,Studio
642,MUS 525A,01,Classical Guitar,empty,empty,empty,Studio
643,MUS 525C,01,Classical Guitar,empty,empty,empty,Studio
644,MUS 525D,01,Classical Guitar,empty,empty,empty,Studio
645,MUS 525E,01,Classical Guitar,empty,empty,empty,Studio
646,MUS 526,01,Jazz Guitar,empty,empty,empty,Studio
647,MUS 526A,01,Jazz Guitar,empty,empty,empty,Studio
648,MUS 526C,01,Jazz Guitar,empty,empty,empty,Studio
649,MUS 526D,01,Jazz Guitar,empty,empty,empty,Studio
650,MUS 526E,01,Jazz Guitar,empty,empty,empty,Studio
651,MUS 527,01,Harp,empty,empty,empty,Studio
652,MUS 527A,01,Harp,empty,empty,empty,Studio
653,MUS 527C,01,Harp,empty,empty,empty,Studio
654,MUS 527D,01,Harp,empty,empty,empty,Studio
655,MUS 527E,01,Harp,empty,empty,empty,Studio
656,MUS 528,01,Jazz Bass,empty,empty,empty,Studio
657,MUS 528A,01,Jazz Bass,empty,empty,empty,Studio
658,MUS 528C,01,Jazz Bass,empty,empty,empty,Studio
659,MUS 528D,01,Jazz Bass,empty,empty,empty,Studio
660,MUS 528E,01,Jazz Bass,empty,empty,empty,Studio
661,MUS 531,01,Trumpet,empty,empty,empty,Studio
662,MUS 531A,01,Trumpet,empty,empty,empty,Studio
663,MUS 531B,01,Trumpet,empty,empty,empty,Studio
664,MUS 531C,01,Trumpet,empty,empty,empty,Studio
665,MUS 531D,01,Trumpet,empty,empty,empty,Studio
666,MUS 531E,01,Trumpet,empty,empty,empty,Studio
667,MUS 532,01,Horn,empty,empty,empty,Studio
668,MUS 532A,01,Horn,empty,empty,empty,Studio
669,MUS 532B,01,Horn,empty,empty,empty,Studio
670,MUS 532C,01,Horn,empty,empty,empty,Studio
671,MUS 532D,01,Horn,empty,empty,empty,Studio
672,MUS 532E,01,Horn,empty,empty,empty,Studio
673,MUS 533,01,Trombone,empty,empty,empty,Studio
674,MUS 533A,01,Trombone,empty,empty,empty,Studio
675,MUS 533B,01,Trombone,empty,empty,empty,Studio
676,MUS 533D,01,Trombone,empty,empty,empty,Studio
677,MUS 533E,01,Trombone,empty,empty,empty,Studio
678,MUS 534,01,Euphonium,empty,empty,empty,Studio
679,MUS 534A,01,Euphonium,empty,empty,empty,Studio
680,MUS 534B,01,Euphonium,empty,empty,empty,Studio
681,MUS 534C,01,Euphonium,empty,empty,empty,Studio
682,MUS 534D,01,Euphonium,empty,empty,empty,Studio
683,MUS 534E,01,Euphonium,empty,empty,empty,Studio
684,MUS 535,01,Tuba,empty,empty,empty,Studio
685,MUS 535A,01,Tuba,empty,empty,empty,Studio
686,MUS 535B,01,Tuba,empty,empty,empty,Studio
687,MUS 535C,01,Tuba,empty,empty,empty,Studio
688,MUS 535D,01,Tuba,empty,empty,empty,Studio
689,MUS 535E,01,Tuba,empty,empty,empty,Studio
