,Program,Header,Courses
219,"History, B.A.",h2: A major consists of at least ten courses and must include:,
220,"History, B.A.",h3: one foundation course focused on European history:,"[{'HST-100 European History - Exam Equivalency': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60535&print'}, {'HST-101 Europe in the Ancient World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60536&print'}, {'HST-102 Europe in the Medieval World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60537&print'}, {'HST-103 Europe in the Early Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60538&print'}, {'HST-104 Europe in the Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60539&print'}]"
221,"History, B.A.",h3: one foundation course in North American history:,"[{'HST-120 American History - Exam Equivalency': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60540&print'}, {'HST-121 North America and the World to 1877': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60541&print'}, {'HST-122 United States and the World since 1877': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60542&print'}]"
222,"History, B.A.","h3: one foundation course considering the history of Africa, Asia, Latin America, the Middle East, or the World:","[{'HST-111 Passages in the Ancient and Medieval World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61546&print'}, {'HST-112 Passages in the Early Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61545&print'}, {'HST-113 Passages in the Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61544&print'}, {'HST-130 World History - Exam Equivalency': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60543&print'}, {'HST-141 Latin America in the Early Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60544&print'}, {'HST-142 Latin America in the Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60545&print'}, {'HST-145 Africa in the Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60546&print'}, {'HST-151 Middle East in the Ancient World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60547&print'}, {'HST-152 Middle East in the Early Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60548&print'}, {'HST-153 Middle East in the Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60549&print'}, {'HST-155 South Asia in the Ancient and Early Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60550&print'}, {'HST-156 India in the Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60551&print'}, {'HST-161 Japan in the Ancient and Early Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60552&print'}, {'HST-162 Japan in the Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60553&print'}, {'HST-165 China in the Ancient and Early Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60554&print'}, {'HST-166 China in the Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60555&print'}]"
223,"History, B.A.",h3: at least four advanced history courses (numbered 200 or greater),
224,"History, B.A.","h3: at least four additional credits (usually two, two-credit classes) from “skills-based” courses numbered between HST-237 and HST-252",
225,"History, B.A.",h3: a two-semester-long senior seminar:,"[{'HST-475 Senior Seminar in History': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60598&print'}, {'HST-476 Senior Seminar in History II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61729&print'}]"
226,"History, B.A.",h2: At least one of the courses required for the history major must focus on the “pre-modern era.”,"[{'HST-101 Europe in the Ancient World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60536&print'}, {'HST-102 Europe in the Medieval World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60537&print'}, {'HST-103 Europe in the Early Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60538&print'}, {'HST-141 Latin America in the Early Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60544&print'}, {'HST-151 Middle East in the Ancient World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60547&print'}, {'HST-152 Middle East in the Early Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60548&print'}, {'HST-155 South Asia in the Ancient and Early Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60550&print'}, {'HST-161 Japan in the Ancient and Early Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60552&print'}, {'HST-165 China in the Ancient and Early Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60554&print'}, {'HST-201 Fall of Rome': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60556&print'}, {'HST-203 The Crusades': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60557&print'}, {'HST-206 European Reformations': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60558&print'}, {'HST-207 Germany and the 30 Years’ War': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60559&print'}, {'HST-208 Tudor-Stuart England': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60560&print'}]"
227,"History, B.A.",h3: First year seminar,
228,"History, B.A.",h3: All exceptions to major requirements must be approved by the department chair.,
229,"History, B.A.",h2: Teaching in Secondary Schools,
230,Africana Studies Minor,"h2: To fulfill interdisciplinary minor requirements, students must complete at least four courses from at least three separate disciplines which must include:","[{'AFS-400 Africana Studies Capstone Course': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61591&print'}, {'POL-274 Black Political Thought': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61459&print'}, '', {'HST-229 African-American Experience': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60573&print'}, {'ENG-346 American Slavery and the Novel': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60498&print'}]"
231,Africana Studies Minor,"h3: and, at least two more courses in the field:","[{'ANT-302 Anthropology of Race and Ethnicity': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60092&print'}, {'COM-318 African American Rhetoric': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60312&print'}, {'COM-323 Race, Class and Gender in Media': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60299&print'}, {'ENG-356 Faulkner': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60487&print'}, {'ENG-293 Literature of the South': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60493&print'}, {'ENG-346 American Slavery and the Novel': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60498&print'}, {'ENG-292 African-American Drama': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60500&print'}, {'HST-224 American Civil War Era': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60571&print'}, {'HST-229 African-American Experience': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60573&print'}, {'HST-235 The Civil Rights Movement': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61660&print'}, {'HST-236 The United States South': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60577&print'}, {'HST-237 South Carolina': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60578&print'}, {'POL-204 Civil Rights and the United States Constitution': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61018&print'}, {'POL-208 Urban Politics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61022&print'}, {'POL-209 Southern Politics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61023&print'}, {'POL-210 Interest Groups and Political Movements': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61024&print'}, {'POL-211 Racial and Ethnic Politics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61025&print'}, {'POL-274 Black Political Thought': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61459&print'}, {'REL-232 African-American Religious History': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61127&print'}, {'REL-233 Martin Luther King and the Religion of Social Reform': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61313&print'}, {'SOC-223 Urban Community': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61172&print'}, {'SOC-251 Social Movements and Collective Behavior': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61182&print'}]"
232,Ancient Greek and Roman Studies Minor,h2: Required Courses (20 credits):,"[{'ART-253 Art & Death': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61599&print'}, {'ART-256 Art & Politics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61634&print'}, {'ART-258 Embodied Representations: Art, Bodies, & Identities': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61642&print'}, {'CLS-101 Homer for Everyone': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61553&print'}, {'CLS-102 Classics: The Basics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61575&print'}, {'CLS-103 Mythology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61552&print'}, {'CLS-104 Sport and Violence in the Ancient World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61618&print'}, {'CLS-105 The Ancient World in 50 Archaeological Objects': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61551&print'}, {'CLS-212 Geography and Travel in the Ancient Mediterranean Catalog': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61550&print'}, {'CLS-213 Inventing the Book': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61619&print'}, {'CLS-214 Law and Order: Greece & Rome': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61620&print'}, {'CLS-215 Science and Innovation in Antiquity': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61574&print'}, {'CLS-216 Historical Linguistics & PIE': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61573&print'}, {'CLS-222 Title The Invention of Archaeology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61621&print'}, {'CLS-223 Immigration and Integration in Greece and Rome': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61622&print'}, {'CLS-232 Guide to the Good Life': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61623&print'}, {'CLS-233 The Art of Poetry': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61624&print'}, {'CLS-311 Business and Entrepreneurship in Greece and Rome': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61625&print'}, {'CLS-321 Polytheism and Its Problems': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61572&print'}, {'CLS-322 The Power in Democracy': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61571&print'}, {'CLS-323 What is “Western Civilization”?': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61626&print'}, {'CLS-331 Constructing Identities': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61627&print'}, {'CLS-332 Women and Power in Antiquity': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61628&print'}, {'CLS-401 Seminar in Classics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61570&print'}, {'CLS-504 Directed Independent Study': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60267&print'}, {'COM-201 Rhetoric and Strategy': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60293&print'}, {'COM-311 Rhetoric in the Ancient World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60296&print'}, {'FYW-1141 Homer and History': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61225&print'}, {'GRK-201 Intermediate Greek': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60270&print'}, {'GRK-315 Ancient Greek: Translation & Research': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61568&print'}, {'GRK-325 Ancient Greek: Intensive Readings': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61578&print'}, {'HST-101 Europe in the Ancient World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60536&print'}, {'HST-102 Europe in the Medieval World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60537&print'}, {'HST-111 Passages in the Ancient and Medieval World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61546&print'}, {'HST-201 Fall of Rome': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60556&print'}, {'LTN-201 Intermediate Latin I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60279&print'}, {'LTN-315 Latin: Translation & Research Methods': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61567&print'}, {'LTN-325 Latin: Intensive Readings': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61579&print'}, {'PHL-210 Ancient Philosophy': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60961&print'}, {'POL-103 Introduction to Political Thought': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61014&print'}, {'POL-270 Classical Political Thought': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61051&print'}, {'REL-211 New Testament and Early Christianity': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61113&print'}, {'REL-235 History of Christianity to 600 CE': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61128&print'}, {'REL-251 Jerusalem: One City, Three Faiths': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61315&print'}, {'REL-252 Judaism in the Time of Jesus': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61377&print'}, {'REL-269 Art and Religion in Turkey': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61136&print'}, {'REL-270 Religious Studies in Turkey': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61137&print'}, {'REL-318 Jesus and the Gospels': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61147&print'}, {'REL-319 Paul’s Life and Thought': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61148&print'}, {'REL-322 Muhammad and the Qur’an': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61149&print'}, {'THA-210 Theatre History I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61202&print'}]"
233,Ancient Greek and Roman Studies Minor,h2: High-Impact experience,
234,Ancient Greek and Roman Studies Minor,h2: Notes:,[]
235,Ancient Greek and Roman Studies Minor,h3: Discretional approval of other courses and experiences,[]
236,Data Analytics Minor,h2: Required courses:,"[{'CSC-121 Intro to Computer Programming': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60328&print'}, {'CSC-272 Introduction to Data Mining': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60335&print'}, {'MTH-245 Statistical Methods I with R': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61484&print'}]"
237,Data Analytics Minor,h2: Electives:,"[{'ACC-350 Accounting Information Systems': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60204&print'}, {'BIO-222 Research and Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60148&print'}, {'BIO-431 Landscape Ecology and Conservation': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61645&print'}, {'BIO-445 Genomics and Bioinformatics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60186&print'}, {'BUS-230 Business Analytics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60209&print'}, {'BUS-337 Intermediate Business Analytics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60218&print'}, {'CHM-240 Experimental Techniques': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60243&print'}, {'CHM-330 Analytical Chemistry': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60248&print'}, {'CSC-341 Database Management Systems': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60338&print'}, {'CSC-343 Artificial Intelligence': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60340&print'}, {'CSC-372 Machine Learning with Big Data': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61490&print'}, {'ECN-331 Empirical Methods in Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60418&print'}, {'ECN-475 Senior Seminar in Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60421&print'}, {'EES-201 Geographic Information Systems': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60360&print'}, {'EES-301 Remote Sensing': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60366&print'}, {'HSC-201 Research and Evaluation in Health Sciences': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60509&print'}, {'HSC-401 Epidemiology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60518&print'}, {'HST-322 Simulating Historic Communities in Virtual Space': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60588&print'}, {'MTH-335 Mathematical Models and Applications': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60656&print'}, {'MTH-337 Operations Research': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60646&print'}, {'MTH-340 Probability': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60657&print'}, {'MTH-341 Mathematical Statistics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60658&print'}, {'MTH-345 Statistical Methods II with R': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61606&print'}, {'PSY-202 Research Methods and Statistics II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61083&print'}, {'SOC-303 Quantitative Research Seminar': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61188&print'}, {'SOC-304 Qualitative Research Seminar': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61189&print'}, {'SUS-242 Dynamic System Modeling': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60393&print'}, '*Note:Independent Study, Independent Research, and Directed Independent Study (Courses numbered 501, 502, and 504) may be used as electives with approval of the oversight committee. Likewise, directed summer research experiences (TFA-002) may be considered for use as electives with approval, along with the submission of a substantive research paper to be reviewed by the committee.']"
238,Data Analytics Minor,h2: Additional requirements:,
239,Digital Ethics Minor,h2: Required Courses (12 credits):,"[{'CSC-121 Intro to Computer Programming': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60328&print'}, {'CSC-271 Digital Dilemmas: Data, Technology, and Being Human': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60334&print'}, {'PHL-208 Ethics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60960&print'}]"
240,Digital Ethics Minor,h2: Elective Courses:,"[{'COM-301 Rhetorical Criticism': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60295&print'}, {'COM-302 Media Criticism': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60298&print'}, {'COM-314 Social Media Strategy': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61529&print'}, {'COM-323 Race, Class and Gender in Media': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60299&print'}, {'COM-335 Political Economy of Mass Media': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60302&print'}, {'COM-419 Mobile Media, Space and Place': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61530&print'}, {'COM-451 Civic Media': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61466&print'}, {'COM-460 Communication Ethics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60318&print'}, {'CSC-272 Introduction to Data Mining': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60335&print'}, {'CSC-343 Artificial Intelligence': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60340&print'}, {'CSC-347 Human Computer Interaction': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60344&print'}, {'CSC-372 Machine Learning with Big Data': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61490&print'}, {'ECN-245 Development Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61495&print'}, {'ECN-246 Economic Growth': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61494&print'}, {'ECN-247 History of Economic Thought': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60412&print'}, {'PHL-200 Logic': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60959&print'}, {'PHL-305 Bioethics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61306&print'}, {'PHL-318 Philosophy of Law': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60979&print'}, {'PHL-417 Philosophy of Copyright': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61723&print'}, {'SOC-231 Media, Culture and Society': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61174&print'}]"
241,Digital Ethics Minor,h2: Note:,
242,Digital Ethics Minor,h2: Capstone Project:,
243,Environmental Studies Minor,"h2: To fulfill interdisciplinary minor requirements, students must complete:","[{'EES-112 Environmental Science': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60358&print'}, {'EST-301 Environment and Society': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60628&print'}]"
244,Environmental Studies Minor,"h3: and, at least one course from each of these three groups where at least two of the three must be in courses numbered greater than 200 and where no more than a single course may also contribute to a student major",
245,Environmental Studies Minor,h4: Social Sciences,"[{'ANT-263 Environmental Anthropology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60093&print'}, {'AST-260 Environment and Health in India': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60137&print'}, {'BUS-312 Sustainable Corporation': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60212&print'}, {'ECN-234 Urban Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60405&print'}, {'ECN-235 Population, Economy and Society': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60406&print'}, {'ECN-236 Economics of the Environment': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60407&print'}, {'ECN-238 Public Economics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60409&print'}, {'HSC-304 Environmental Health': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60519&print'}, {'MXP-140 Considering Sustainable Food Practices': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60609&print'}, {'POL-205 Public Policy in the United States': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61019&print'}, {'POL-210 Interest Groups and Political Movements': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61024&print'}, {'POL-213 Environmental Policy': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61027&print'}, {'POL-214 Environmental Law': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61028&print'}, {'POL-224 Politics of Africa': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61036&print'}, {'POL-413 Conservation and Renewable Energy': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61064&print'}, {'POL-416 Farm': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61066&print'}, {'SOC-251 Social Movements and Collective Behavior': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61182&print'}]"
246,Environmental Studies Minor,h4: Humanities,"[{'ENG-298 Literature and the Environment': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61539&print'}, {'PHL-208 Ethics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60960&print'}, {'PHL-245 Environmental Ethics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60967&print'}, {'PHL-304 Ethics of Globalization': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60975&print'}, {'REL-248 Religion and the Environment': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61160&print'}]"
247,Environmental Studies Minor,h4: Natural Sciences,"[{'BIO-102 Biology and the Environment': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60143&print'}, {'BIO-340 Ecology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60164&print'}, {'BIO-343 Environmental Systems': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60167&print'}, {'BIO-344 African Biodiversity and Conservation': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60168&print'}, {'BIO-430 Conservation Biology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60182&print'}, {'CHM-101 Chemistry and Global Awareness': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60237&print'}, {'CHM-440 Environmental Chemistry': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60253&print'}, {'EES-200 Topics in Spatial Analysis and Visualization': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61288&print'}, {'EES-201 Geographic Information Systems': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60360&print'}, {'EES-210 Surficial Processes': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60361&print'}, {'EES-230 Watershed Hydrology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60365&print'}, {'EES-330 Hydrogeology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60369&print'}, {'EES-343 Environmental Systems': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60370&print'}, {'EES-360 Geology and Sustainability of India': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60380&print'}, {'EES-410 Ocean and Climate Systems': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60382&print'}, {'PHY-104 Energy: Man, Creation and Calories': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60989&print'}, {'SUS-120 Principles of Sustainability Science': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60390&print'}, {'SUS-242 Dynamic System Modeling': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60393&print'}]"
248,Film Studies Minor,"h2: To fulfill interdisciplinary minor requirements, students must successfully complete:",[{'FST-202 Introduction to Reading Film': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60629&print'}]
249,Film Studies Minor,"h3: and, at least twelve more credits from the following. At least two different departments must be represented.","[{'ANT-204 Modern Japanese Society through Films': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60089&print'}, {'ANT-205 Japanese Popular Culture': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60090&print'}, {'CHN-225 Chinese Film': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60682&print'}, {'COM-302 Media Criticism': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60298&print'}, {'COM-323 Race, Class and Gender in Media': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60299&print'}, {'COM-350 Lenses on Africa': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60306&print'}, {'COM-421 Studies in Mass Media': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60315&print'}, {'ENG-392 Film Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60496&print'}, {'FRN-465 French Cinema': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60729&print'}, {'FST-365 Film Directors and Movements': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60310&print'}, {'FYW-1161 Contemporary Issues on Film': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61234&print'}, {'GRM-338 History of German Cinema': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60753&print'}, {'GRM-466 Nazi Cinema and Culture': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60758&print'}, {'JPN-225 Japanese Cinema': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60766&print'}, {'MLL-235 French Cinema': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60788&print'}, {'MLL-236 Nazi Cinema and Culture': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60789&print'}]"
